"rental_id","customer_id","payment_id","staff_id","amount","film_id","store_id","rental_date","return_date"
2759,351,17547,1,2.99,150,2,2005-06-19 17:10:24.000,2005-06-24 21:56:24.000
1498,352,17548,1,0.99,807,1,2005-06-15 21:58:00.000,2005-06-17 21:50:00.000
1649,352,17549,1,4.99,86,1,2005-06-16 09:20:33.000,2005-06-18 13:42:33.000
1678,352,17550,1,4.99,403,2,2005-06-16 11:08:28.000,2005-06-19 15:44:28.000
1780,352,17551,1,4.99,31,1,2005-06-16 19:11:45.000,2005-06-19 15:34:45.000
3331,352,17552,2,4.99,640,2,2005-06-21 09:37:53.000,2005-06-26 04:01:53.000
1359,353,17553,2,2.99,690,1,2005-06-15 13:30:30.000,2005-06-17 14:55:30.000
1928,353,17554,2,7.99,757,2,2005-06-17 06:48:31.000,2005-06-26 08:17:31.000
3233,353,17555,2,6.99,774,1,2005-06-21 02:39:31.000,2005-06-28 05:23:31.000
1491,354,17556,1,0.99,186,1,2005-06-15 21:48:18.000,2005-06-20 16:40:18.000
2275,354,17557,1,4.99,616,1,2005-06-18 06:31:29.000,2005-06-24 10:04:29.000
2769,354,17558,1,6.99,271,1,2005-06-19 17:52:14.000,2005-06-26 20:30:14.000
3139,354,17559,1,2.99,761,2,2005-06-20 19:44:45.000,2005-06-23 16:24:45.000
1488,355,17560,2,0.99,241,1,2005-06-15 21:39:54.000,2005-06-16 20:33:54.000
1612,355,17561,1,2.99,664,2,2005-06-16 06:52:05.000,2005-06-19 01:51:05.000
1410,356,17562,1,0.99,176,1,2005-06-15 16:59:46.000,2005-06-21 16:38:46.000
2405,356,17563,1,2.99,788,1,2005-06-18 16:36:38.000,2005-06-21 19:15:38.000
2433,356,17564,1,4.99,207,1,2005-06-18 18:10:17.000,2005-06-23 14:46:17.000
1246,357,17565,2,5.99,95,2,2005-06-15 05:11:19.000,2005-06-21 02:21:19.000
1788,357,17566,1,1.99,831,1,2005-06-16 19:47:18.000,2005-06-22 23:10:18.000
1971,357,17567,2,1.99,629,2,2005-06-17 09:23:59.000,2005-06-25 13:20:59.000
2153,357,17568,2,6.99,532,2,2005-06-17 22:58:04.000,2005-06-24 19:38:04.000
1455,358,17569,1,2.99,474,2,2005-06-15 19:51:06.000,2005-06-18 21:54:06.000
1908,358,17570,2,0.99,89,1,2005-06-17 05:10:36.000,2005-06-19 03:52:36.000
2114,358,17571,1,5.99,774,1,2005-06-17 20:00:25.000,2005-06-23 18:51:25.000
2721,358,17572,1,2.99,829,1,2005-06-19 14:53:24.000,2005-06-21 18:22:24.000
2749,358,17573,1,2.99,337,1,2005-06-19 16:27:35.000,2005-06-25 21:06:35.000
3245,358,17574,1,2.99,447,1,2005-06-21 03:06:11.000,2005-06-25 08:06:11.000
1329,359,17575,2,4.99,255,1,2005-06-15 11:25:06.000,2005-06-17 16:10:06.000
1770,359,17576,2,1.99,367,1,2005-06-16 18:07:55.000,2005-06-23 23:49:55.000
2401,359,17577,1,0.99,17,2,2005-06-18 16:22:03.000,2005-06-19 13:49:03.000
2736,359,17578,1,4.99,985,1,2005-06-19 15:43:20.000,2005-06-21 13:03:20.000
1492,360,17579,2,0.99,901,1,2005-06-15 21:48:35.000,2005-06-17 17:18:35.000
2402,360,17580,2,6.99,621,2,2005-06-18 16:24:45.000,2005-06-27 14:39:45.000
2541,360,17581,2,3.99,25,2,2005-06-19 02:08:10.000,2005-06-23 23:32:10.000
2780,360,17582,2,6.99,330,2,2005-06-19 18:19:33.000,2005-06-28 22:29:33.000
2353,361,17583,2,4.99,708,1,2005-06-18 12:53:25.000,2005-06-19 13:53:25.000
2558,361,17584,2,1.99,641,2,2005-06-19 03:09:16.000,2005-06-24 05:29:16.000
2851,361,17585,1,2.99,468,1,2005-06-19 23:07:03.000,2005-06-22 17:26:03.000
3303,361,17586,2,2.99,344,1,2005-06-21 07:34:14.000,2005-06-26 13:18:14.000
1429,362,17587,1,2.99,895,1,2005-06-15 18:24:10.000,2005-06-18 16:30:10.000
1529,362,17588,1,2.99,368,1,2005-06-16 00:37:35.000,2005-06-22 18:58:35.000
1615,362,17589,1,2.99,850,2,2005-06-16 07:00:28.000,2005-06-25 08:53:28.000
3197,362,17590,2,2.99,393,1,2005-06-21 00:07:23.000,2005-06-23 00:53:23.000
3393,362,17591,2,2.99,356,2,2005-06-21 15:14:27.000,2005-06-25 19:54:27.000
1426,363,17592,2,4.99,964,2,2005-06-15 18:16:24.000,2005-06-18 22:15:24.000
1569,363,17593,2,4.99,856,2,2005-06-16 03:19:09.000,2005-06-18 21:55:09.000
1847,363,17594,1,4.99,265,1,2005-06-17 00:05:22.000,2005-06-20 21:09:22.000
2540,363,17595,1,4.99,938,1,2005-06-19 02:04:48.000,2005-06-20 22:42:48.000
3281,363,17596,2,2.99,872,2,2005-06-21 06:08:47.000,2005-06-24 11:22:47.000
1722,364,17597,1,2.99,463,2,2005-06-16 15:12:52.000,2005-06-19 13:01:52.000
2442,364,17598,2,2.99,880,2,2005-06-18 18:49:18.000,2005-06-22 16:18:18.000
2606,364,17599,2,4.99,898,1,2005-06-19 06:51:32.000,2005-06-21 03:15:32.000
2857,364,17600,2,4.99,633,2,2005-06-19 23:15:15.000,2005-06-25 04:24:15.000
2962,364,17601,2,3.99,652,1,2005-06-20 07:31:55.000,2005-06-26 04:43:55.000
1303,365,17602,1,1.99,436,1,2005-06-15 09:55:57.000,2005-06-20 14:26:57.000
1578,365,17603,1,6.99,745,2,2005-06-16 04:08:16.000,2005-06-23 07:57:16.000
1983,365,17604,1,4.99,426,2,2005-06-17 10:22:13.000,2005-06-24 05:04:13.000
2525,365,17605,1,2.99,288,2,2005-06-19 00:48:22.000,2005-06-24 19:10:22.000
3156,365,17606,2,0.99,479,2,2005-06-20 21:03:46.000,2005-06-21 23:32:46.000
1401,366,17607,2,1.99,890,1,2005-06-15 16:30:22.000,2005-06-21 11:07:22.000
2214,366,17608,2,0.99,531,1,2005-06-18 02:44:37.000,2005-06-18 23:37:37.000
3078,367,17609,1,0.99,795,1,2005-06-20 15:09:48.000,2005-06-24 16:54:48.000
1186,368,17610,1,0.99,341,2,2005-06-15 00:56:45.000,2005-06-16 02:23:45.000
1513,368,17611,1,9.99,260,2,2005-06-15 22:53:30.000,2005-06-23 01:00:30.000
2531,368,17612,1,4.99,167,2,2005-06-19 01:20:49.000,2005-06-22 01:50:49.000
2694,368,17613,1,4.99,84,1,2005-06-19 13:17:21.000,2005-06-24 15:09:21.000
2744,368,17614,1,4.99,985,1,2005-06-19 16:20:40.000,2005-06-22 11:44:40.000
3275,368,17615,2,4.99,504,1,2005-06-21 05:33:04.000,2005-06-30 00:37:04.000
1224,369,17616,1,0.99,345,1,2005-06-15 03:44:25.000,2005-06-17 03:49:25.000
1190,370,17617,2,6.99,563,1,2005-06-15 01:05:32.000,2005-06-23 02:34:32.000
1212,371,17618,2,2.99,789,1,2005-06-15 03:03:33.000,2005-06-17 06:31:33.000
1218,371,17619,1,1.99,54,1,2005-06-15 03:24:44.000,2005-06-21 22:45:44.000
1573,371,17620,1,6.99,990,2,2005-06-16 03:31:39.000,2005-06-25 04:04:39.000
1675,371,17621,2,5.99,668,2,2005-06-16 11:04:47.000,2005-06-24 06:56:47.000
2837,371,17622,2,0.99,91,2,2005-06-19 22:03:50.000,2005-06-20 21:24:50.000
3176,371,17623,1,3.99,432,2,2005-06-20 22:31:54.000,2005-06-25 02:58:54.000
3396,371,17624,2,0.99,602,1,2005-06-21 15:23:08.000,2005-06-23 10:25:08.000
2315,372,17625,1,2.99,608,1,2005-06-18 09:03:39.000,2005-06-22 11:18:39.000
2959,372,17626,1,4.99,911,2,2005-06-20 07:07:54.000,2005-06-27 03:31:54.000
3283,372,17627,1,3.99,869,2,2005-06-21 06:19:07.000,2005-06-26 10:59:07.000
1472,373,17628,1,6.99,920,2,2005-06-15 20:54:55.000,2005-06-24 21:52:55.000
3161,373,17629,1,2.99,293,1,2005-06-20 21:21:01.000,2005-06-21 18:22:01.000
1548,374,17630,1,1.99,454,1,2005-06-16 01:43:33.000,2005-06-23 22:04:33.000
2046,374,17631,2,1.99,191,2,2005-06-17 14:39:50.000,2005-06-24 16:02:50.000
2487,374,17632,2,4.99,805,2,2005-06-18 21:32:54.000,2005-06-23 21:11:54.000
2641,374,17633,2,2.99,51,2,2005-06-19 09:38:33.000,2005-06-22 09:55:33.000
1404,375,17634,2,2.99,609,2,2005-06-15 16:38:53.000,2005-06-16 20:37:53.000
1499,375,17635,1,5.99,35,2,2005-06-15 21:58:07.000,2005-06-22 19:37:07.000
2236,375,17636,1,4.99,871,2,2005-06-18 04:12:33.000,2005-06-23 04:07:33.000
1208,376,17637,2,0.99,164,2,2005-06-15 02:30:03.000,2005-06-18 00:04:03.000
2779,376,17638,1,0.99,228,2,2005-06-19 18:19:07.000,2005-06-23 18:25:07.000
2556,377,17639,2,3.99,25,1,2005-06-19 03:07:32.000,2005-06-23 23:09:32.000
3080,377,17640,1,1.99,23,2,2005-06-20 15:22:32.000,2005-06-24 11:08:32.000
3086,377,17641,2,0.99,970,2,2005-06-20 15:42:40.000,2005-06-25 19:21:40.000
3136,377,17642,2,2.99,735,2,2005-06-20 19:39:08.000,2005-06-22 23:35:08.000
3443,377,17643,2,4.99,358,1,2005-06-21 20:19:00.000,2005-06-30 15:39:00.000
1623,378,17644,2,4.99,980,1,2005-06-16 07:48:50.000,2005-06-17 03:53:50.000
1662,378,17645,1,5.99,776,2,2005-06-16 10:13:35.000,2005-06-23 13:54:35.000
2134,378,17646,2,7.99,370,1,2005-06-17 21:13:44.000,2005-06-26 16:28:44.000
2713,378,17647,2,4.99,867,1,2005-06-19 14:23:09.000,2005-06-20 17:55:09.000
1383,379,17648,1,8.99,284,1,2005-06-15 15:20:06.000,2005-06-24 18:42:06.000
2313,379,17649,1,5.99,689,1,2005-06-18 08:56:45.000,2005-06-26 10:30:45.000
2926,379,17650,1,2.99,235,1,2005-06-20 04:37:45.000,2005-06-26 02:17:45.000
1868,380,17651,1,3.99,526,2,2005-06-17 02:03:22.000,2005-06-25 04:38:22.000
1984,380,17652,1,2.99,748,2,2005-06-17 10:25:28.000,2005-06-23 08:18:28.000
2018,380,17653,1,3.99,283,1,2005-06-17 12:35:58.000,2005-06-26 13:16:58.000
2440,380,17654,1,2.99,628,1,2005-06-18 18:41:09.000,2005-06-22 12:46:09.000
2464,380,17655,1,4.99,102,2,2005-06-18 20:06:05.000,2005-06-20 19:22:05.000
2998,380,17656,2,1.99,285,1,2005-06-20 09:30:22.000,2005-06-24 06:31:22.000
3099,380,17657,2,1.99,821,2,2005-06-20 16:44:33.000,2005-06-27 12:17:33.000
3260,380,17658,1,4.99,791,2,2005-06-21 03:59:13.000,2005-06-23 03:29:13.000
1402,381,17659,1,3.99,425,2,2005-06-15 16:31:08.000,2005-06-24 19:31:08.000
1878,381,17660,1,1.99,730,2,2005-06-17 02:55:32.000,2005-06-21 03:44:32.000
2410,381,17661,2,2.99,59,1,2005-06-18 16:55:08.000,2005-06-20 12:40:08.000
2418,381,17662,1,4.99,604,2,2005-06-18 17:14:42.000,2005-06-26 16:33:42.000
3425,381,17663,2,2.99,993,1,2005-06-21 18:07:07.000,2005-06-27 22:59:07.000
2389,382,17664,1,0.99,160,1,2005-06-18 15:27:47.000,2005-06-21 12:26:47.000
2468,382,17665,1,4.99,398,2,2005-06-18 20:23:52.000,2005-06-23 14:34:52.000
2489,382,17666,1,1.99,873,2,2005-06-18 22:00:44.000,2005-06-22 02:06:44.000
2514,382,17667,1,2.99,561,1,2005-06-18 23:56:44.000,2005-06-23 21:10:44.000
3125,382,17668,2,4.99,725,1,2005-06-20 18:31:58.000,2005-06-21 15:03:58.000
1831,383,17669,1,7.99,572,2,2005-06-16 22:22:17.000,2005-06-25 23:23:17.000
2228,383,17670,2,2.99,109,2,2005-06-18 03:44:50.000,2005-06-23 00:28:50.000
2252,383,17671,1,2.99,433,1,2005-06-18 05:05:18.000,2005-06-21 08:19:18.000
2318,383,17672,2,2.99,505,2,2005-06-18 09:13:54.000,2005-06-23 07:19:54.000
2609,383,17673,1,7.99,487,2,2005-06-19 07:13:12.000,2005-06-28 12:30:12.000
3091,383,17674,1,2.99,188,1,2005-06-20 16:02:59.000,2005-06-22 21:30:59.000
1961,384,17675,1,0.99,625,1,2005-06-17 09:02:58.000,2005-06-20 03:07:58.000
2020,384,17676,2,0.99,416,2,2005-06-17 12:39:50.000,2005-06-19 14:59:50.000
2378,384,17677,1,7.99,614,1,2005-06-18 14:57:49.000,2005-06-26 18:23:49.000
2510,384,17678,2,5.99,838,2,2005-06-18 23:44:21.000,2005-06-24 00:31:21.000
2935,384,17679,2,3.99,600,1,2005-06-20 05:07:24.000,2005-06-28 09:17:24.000
3088,384,17680,1,9.99,670,1,2005-06-20 15:56:05.000,2005-06-29 13:02:05.000
3101,384,17681,2,4.99,378,1,2005-06-20 16:48:58.000,2005-06-27 18:13:58.000
1746,385,17682,1,2.99,930,1,2005-06-16 16:41:19.000,2005-06-19 11:28:19.000
1937,385,17683,1,0.99,281,1,2005-06-17 07:16:46.000,2005-06-21 04:22:46.000
3105,385,17684,1,0.99,26,1,2005-06-20 17:11:46.000,2005-06-21 11:48:46.000
1585,386,17685,2,3.99,373,1,2005-06-16 04:51:13.000,2005-06-24 00:23:13.000
1608,386,17686,1,2.99,566,1,2005-06-16 06:28:57.000,2005-06-24 05:20:57.000
1819,386,17687,2,5.99,368,1,2005-06-16 21:32:50.000,2005-06-26 01:11:50.000
2732,386,17688,1,0.99,132,2,2005-06-19 15:19:39.000,2005-06-25 19:39:39.000
3351,386,17689,1,2.99,349,1,2005-06-21 11:21:39.000,2005-06-23 07:23:39.000
1464,387,17690,1,0.99,894,2,2005-06-15 20:38:14.000,2005-06-17 14:52:14.000
1465,387,17691,2,0.99,132,1,2005-06-15 20:43:08.000,2005-06-18 23:00:08.000
2068,387,17692,1,0.99,924,2,2005-06-17 16:11:46.000,2005-06-20 11:28:46.000
2100,387,17693,2,0.99,489,2,2005-06-17 18:53:21.000,2005-06-19 21:49:21.000
2981,387,17694,2,5.99,115,2,2005-06-20 08:35:17.000,2005-06-28 09:14:17.000
3378,387,17695,2,4.99,7,2,2005-06-21 13:51:28.000,2005-06-25 09:21:28.000
1276,388,17696,2,6.99,330,1,2005-06-15 08:00:13.000,2005-06-24 02:55:13.000
2145,388,17697,1,0.99,54,1,2005-06-17 22:10:36.000,2005-06-18 21:07:36.000
2537,388,17698,1,5.99,767,1,2005-06-19 01:52:21.000,2005-06-26 02:09:21.000
2692,388,17699,1,4.99,694,1,2005-06-19 13:08:19.000,2005-06-21 16:45:19.000
3159,388,17700,2,7.99,7,1,2005-06-20 21:11:50.000,2005-06-29 19:35:50.000
1763,389,17701,1,4.99,422,2,2005-06-16 17:51:01.000,2005-06-20 17:27:01.000
1946,389,17702,1,4.99,507,2,2005-06-17 07:58:39.000,2005-06-25 06:49:39.000
2552,389,17703,1,3.99,143,2,2005-06-19 03:01:29.000,2005-06-28 04:13:29.000
1539,390,17704,2,5.99,59,2,2005-06-16 01:11:25.000,2005-06-23 03:43:25.000
1730,390,17705,2,2.99,302,1,2005-06-16 15:30:01.000,2005-06-19 12:56:01.000
1893,390,17706,2,2.99,735,2,2005-06-17 04:18:37.000,2005-06-23 23:35:37.000
2330,390,17707,1,7.99,933,1,2005-06-18 10:41:19.000,2005-06-25 10:48:19.000
3147,390,17708,1,5.99,133,2,2005-06-20 20:25:17.000,2005-06-28 20:22:17.000
1232,391,17709,2,0.99,602,1,2005-06-15 04:18:10.000,2005-06-17 06:02:10.000
1931,391,17710,2,0.99,309,1,2005-06-17 06:51:56.000,2005-06-22 08:27:56.000
2045,391,17711,1,2.99,122,1,2005-06-17 14:38:11.000,2005-06-26 13:44:11.000
2690,391,17712,1,2.99,303,1,2005-06-19 13:00:02.000,2005-06-27 14:29:02.000
3163,391,17713,2,2.99,577,1,2005-06-20 21:22:13.000,2005-06-26 15:22:13.000
1530,392,17714,2,6.99,528,1,2005-06-16 00:38:07.000,2005-06-24 02:45:07.000
1764,392,17715,2,2.99,154,2,2005-06-16 17:51:54.000,2005-06-21 20:36:54.000
2289,392,17716,2,2.99,442,1,2005-06-18 07:29:43.000,2005-06-24 11:16:43.000
2890,392,17717,2,4.99,753,2,2005-06-20 02:00:45.000,2005-06-27 21:12:45.000
1611,393,17718,1,6.99,378,2,2005-06-16 06:41:35.000,2005-06-25 06:13:35.000
1915,393,17719,2,1.99,574,2,2005-06-17 05:28:28.000,2005-06-21 07:12:28.000
2219,393,17720,2,2.99,410,1,2005-06-18 03:16:54.000,2005-06-22 01:29:54.000
2319,393,17721,1,4.99,331,2,2005-06-18 09:24:22.000,2005-06-26 14:12:22.000
3001,393,17722,2,2.99,646,1,2005-06-20 09:50:16.000,2005-06-28 05:13:16.000
1324,394,17723,2,4.99,167,1,2005-06-15 11:02:45.000,2005-06-17 07:14:45.000
1270,395,17724,1,0.99,12,1,2005-06-15 07:30:22.000,2005-06-18 11:31:22.000
1562,395,17725,1,0.99,130,1,2005-06-16 02:46:27.000,2005-06-23 00:56:27.000
1603,395,17726,2,0.99,728,1,2005-06-16 06:14:03.000,2005-06-17 06:04:03.000
3030,395,17727,1,4.99,338,2,2005-06-20 11:51:59.000,2005-06-24 10:51:59.000
3310,395,17728,1,0.99,374,2,2005-06-21 08:04:51.000,2005-06-22 04:20:51.000
3389,395,17729,1,6.99,159,1,2005-06-21 14:37:55.000,2005-06-28 18:13:55.000
1370,396,17730,2,1.99,140,1,2005-06-15 14:31:05.000,2005-06-22 19:23:05.000
1385,396,17731,2,4.99,888,1,2005-06-15 15:28:23.000,2005-06-18 18:37:23.000
1408,396,17732,2,6.99,582,2,2005-06-15 16:57:58.000,2005-06-22 21:08:58.000
1769,397,17733,1,5.99,272,1,2005-06-16 18:07:48.000,2005-06-22 12:39:48.000
3027,397,17734,2,1.99,877,2,2005-06-20 11:50:30.000,2005-06-25 15:58:30.000
1228,398,17735,2,2.99,977,2,2005-06-15 03:50:36.000,2005-06-17 22:41:36.000
2087,398,17736,1,6.99,103,1,2005-06-17 17:35:10.000,2005-06-26 13:52:10.000
3141,398,17737,2,9.99,392,1,2005-06-20 19:55:47.000,2005-06-30 00:31:47.000
2961,399,17738,2,2.99,991,1,2005-06-20 07:29:15.000,2005-06-24 08:05:15.000
3036,399,17739,1,5.99,975,2,2005-06-20 12:18:31.000,2005-06-29 09:52:31.000
1364,400,17740,2,0.99,23,1,2005-06-15 14:05:32.000,2005-06-16 15:31:32.000
1917,400,17741,1,3.99,586,1,2005-06-17 05:36:07.000,2005-06-24 01:44:07.000
1923,400,17742,2,6.99,151,1,2005-06-17 06:06:10.000,2005-06-24 04:29:10.000
1194,402,17743,2,4.99,826,2,2005-06-15 01:25:08.000,2005-06-21 01:16:08.000
2490,402,17744,2,4.99,420,2,2005-06-18 22:00:50.000,2005-06-19 23:45:50.000
2913,402,17745,2,2.99,758,2,2005-06-20 03:42:27.000,2005-06-23 04:47:27.000
1221,403,17746,2,4.99,460,2,2005-06-15 03:35:16.000,2005-06-18 03:11:16.000
1249,403,17747,1,8.99,460,1,2005-06-15 05:38:09.000,2005-06-22 10:29:09.000
2488,403,17748,2,3.99,295,1,2005-06-18 21:38:26.000,2005-06-24 02:08:26.000
2927,403,17749,1,4.99,86,2,2005-06-20 04:41:41.000,2005-06-23 01:59:41.000
3049,403,17750,2,6.99,114,2,2005-06-20 12:51:01.000,2005-06-29 10:53:01.000
3356,403,17751,1,5.99,989,1,2005-06-21 11:38:45.000,2005-06-26 17:18:45.000
1506,404,17752,2,2.99,890,2,2005-06-15 22:19:37.000,2005-06-22 18:28:37.000
1840,404,17753,2,4.99,75,2,2005-06-16 23:39:34.000,2005-06-21 23:36:34.000
2715,404,17754,1,4.99,451,2,2005-06-19 14:29:35.000,2005-06-26 08:44:35.000
2951,404,17755,1,2.99,638,1,2005-06-20 06:23:01.000,2005-06-24 00:26:01.000
1315,405,17756,2,4.99,842,1,2005-06-15 10:23:08.000,2005-06-21 15:06:08.000
1888,405,17757,1,0.99,629,2,2005-06-17 03:58:36.000,2005-06-22 09:28:36.000
1953,405,17758,2,5.99,776,1,2005-06-17 08:34:57.000,2005-06-24 09:38:57.000
2654,405,17759,2,3.99,809,2,2005-06-19 10:37:54.000,2005-06-27 11:44:54.000
3240,405,17760,1,4.99,645,2,2005-06-21 02:53:17.000,2005-06-30 03:25:17.000
3253,405,17761,1,5.99,415,1,2005-06-21 03:25:37.000,2005-06-27 02:46:37.000
2113,406,17762,1,4.99,330,1,2005-06-17 19:57:46.000,2005-06-24 00:22:46.000
2150,406,17763,2,3.99,415,2,2005-06-17 22:50:36.000,2005-06-21 19:33:36.000
2241,406,17764,1,2.99,204,2,2005-06-18 04:31:41.000,2005-06-24 22:34:41.000
2325,406,17765,2,0.99,164,2,2005-06-18 10:08:07.000,2005-06-21 15:07:07.000
2585,406,17766,2,0.99,18,2,2005-06-19 05:05:03.000,2005-06-20 09:28:03.000
3186,406,17767,1,7.99,702,2,2005-06-20 23:04:20.000,2005-06-29 02:56:20.000
3306,406,17768,1,4.99,364,1,2005-06-21 07:46:58.000,2005-06-26 11:22:58.000
1698,407,17769,1,2.99,322,2,2005-06-16 13:04:42.000,2005-06-21 15:54:42.000
2597,407,17770,2,0.99,493,2,2005-06-19 05:53:46.000,2005-06-20 05:14:46.000
2479,408,17771,2,4.99,354,2,2005-06-18 21:03:08.000,2005-06-22 16:49:08.000
2564,408,17772,1,2.99,873,1,2005-06-19 03:41:10.000,2005-06-24 03:10:10.000
2728,408,17773,2,2.99,169,2,2005-06-19 15:04:04.000,2005-06-22 12:22:04.000
1226,409,17774,2,5.99,496,2,2005-06-15 03:46:10.000,2005-06-23 02:00:10.000
2310,409,17775,2,8.99,568,2,2005-06-18 08:45:59.000,2005-06-26 05:06:59.000
1514,410,17776,1,2.99,645,1,2005-06-15 22:57:34.000,2005-06-19 20:27:34.000
2073,410,17777,1,2.99,772,2,2005-06-17 16:33:59.000,2005-06-19 11:57:59.000
2255,410,17778,1,4.99,5,2,2005-06-18 05:21:12.000,2005-06-26 09:19:12.000
2400,410,17779,2,5.99,702,1,2005-06-18 16:10:46.000,2005-06-25 20:34:46.000
2971,410,17780,2,0.99,348,2,2005-06-20 07:56:00.000,2005-06-27 11:38:00.000
3249,410,17781,1,4.99,154,1,2005-06-21 03:13:19.000,2005-06-29 04:04:19.000
1985,411,17782,1,0.99,18,1,2005-06-17 10:31:37.000,2005-06-22 11:17:37.000
1997,411,17783,2,2.99,185,1,2005-06-17 11:19:43.000,2005-06-19 14:18:43.000
2712,411,17784,2,0.99,688,2,2005-06-19 14:20:13.000,2005-06-22 19:08:13.000
3292,412,17785,1,2.99,724,2,2005-06-21 06:59:11.000,2005-06-23 07:11:11.000
2130,413,17786,2,5.99,301,2,2005-06-17 21:00:44.000,2005-06-26 00:05:44.000
2545,413,17787,2,4.99,710,2,2005-06-19 02:23:36.000,2005-06-20 03:17:36.000
2246,414,17788,1,4.99,933,1,2005-06-18 04:54:29.000,2005-06-22 09:14:29.000
2559,414,17789,1,9.99,969,1,2005-06-19 03:09:46.000,2005-06-28 07:49:46.000
3318,414,17790,1,5.99,246,2,2005-06-21 08:23:05.000,2005-06-27 14:07:05.000
1867,415,17791,2,4.99,773,2,2005-06-17 02:01:37.000,2005-06-25 04:52:37.000
